eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss
4.0,70000,0.4000000059604645,,,,,,0.2,-0.01999884007673245,0.9931521397083998,340,0.035776854,0.0003,0.060498046875,-0.045667048543691635,0.00010401311547418857,-0.3402073124423623
4.0,71000,0.4000000059604645,,,,,,,,,,,,,,,
,71680,,22,0.3999999999999999,4.18,35,3202,,,,,,,,,,
4.0,72000,0.4000000059604645,,,,,,0.2,-0.01146530417026952,0.9977371650747955,350,0.027727075,0.0003,0.063427734375,-0.07286115735769272,1.115577510244492e-05,-0.29269919781945647
4.0,73000,0.4000000059604645,,,,,,,,,,,,,,,
,73728,,22,0.3999999999999999,4.4,36,3270,,,,,,,,,,
4.0,74000,0.4000000059604645,,,,,,0.2,-0.031965389131801206,0.999730303126853,360,0.0046244585,0.0003,0.0634765625,-0.02715160883963108,2.764294669432843e-06,-0.3204627163242549
4.0,75000,0.4000000059604645,,,,,,,,,,,,,,,
,75776,,22,0.3999999999999999,4.39,37,3338,,,,,,,,,,
4.0,76000,0.4000000059604645,,,,,,0.2,-0.060160503239603716,0.9957441654987633,370,0.059080977,0.0003,0.265234375,-0.0632658377289772,6.496453010917946e-05,-0.1614277727669105
4.0,77000,0.4000000059604645,,,,,,,,,,,,,,,
,77824,,22,0.3999999999999999,4.04,38,3405,,,,,,,,,,
4.0,78000,0.4000000059604645,,,,,,0.2,-0.006962304710759782,0.987802766263485,380,0.02454844,0.0003,0.098583984375,-0.07448841631412506,0.00020375524354321328,-0.19370340988971294
4.0,79000,0.4000000059604645,,,,,,,,,,,,,,,
,79872,,22,0.3999999999999999,4.44,39,3473,,,,,,,,,,
