time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
138000,1000.0,0.30000000447034836,,,,,,-0.028739310801029205,-5.616634130477905,0.0003,0.229345703125,0.2,0.0003368974184468243,0.016468663,0.8548638969659805,-0.017722903825051615,670
139000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
139264,,,5614,1000.0,24,68,0.791,,,,,,,,,,
140000,1000.0,0.30000000447034836,,,,,,-0.04229350388050079,-5.452065305411816,0.0003,0.179150390625,0.2,0.00010429208598452532,0.018093439,0.972346268594265,-0.028023761505028232,680
141000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
141312,,,5696,1000.0,24,69,0.801,,,,,,,,,,
142000,1000.0,0.30000000447034836,,,,,,-0.02542620152235031,-5.2657022953033445,0.0003,0.190673828125,0.2,0.0009603574735592701,0.01646172,0.8576971143484116,-0.021640694394591264,690
143000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
143360,,,5778,993.09,24,70,0.813,,,,,,,,,,
144000,1000.0,0.30000000447034836,,,,,,-0.030418841168284416,-5.272363793849945,0.0003,0.165576171875,0.2,0.0009017597281854251,0.0136812115,0.8792035058140755,-0.017962103862373624,700
145000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
145408,,,5860,1002.38,24,71,0.8200000000000002,,,,,,,,,,
146000,1000.0,0.30000000447034836,,,,,,-0.03495481237769127,-5.186469322443008,0.0003,0.1501953125,0.2,0.0012532093141544465,0.012873851,0.7494190037250519,-0.014479171956190839,710
147000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
147456,,,5942,992.49,24,72,0.8210000000000001,,,,,,,,,,
148000,1000.0,0.30000000447034836,,,,,,-0.05580931156873703,-5.102272139489651,0.0003,0.18837890625,0.2,0.0008017083889853893,0.019096298,0.8787326514720917,-0.02294173607369885,720
149000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
149504,,,6024,1000.0,24,73,0.8310000000000001,,,,,,,,,,
150000,1000.0,0.30000000447034836,,,,,,-0.07822351157665253,-5.265183173120022,0.0003,0.214990234375,0.2,0.0001989249560438111,0.046974026,0.9151930958032608,-0.019850907815271056,730
151000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
151552,,,6106,1000.0,24,74,0.8330000000000001,,,,,,,,,,
152000,1000.0,0.30000000447034836,,,,,,-0.011999362148344517,-5.084432996809483,0.0003,0.189892578125,0.2,0.0001783593971083519,0.017306644,0.9498612992465496,-0.02153226553928107,740
153000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
153600,,,6187,1000.0,24,75,0.836,,,,,,,,,,
154000,1000.0,0.30000000447034836,,,,,,-0.02030267007648945,-5.226544284820557,0.0003,0.226416015625,0.2,0.0001633302539403303,0.019048028,0.9373946562409401,-0.026223087159451097,750
155000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
155648,,,6269,984.94,24,76,0.8400000000000002,,,,,,,,,,
156000,1000.0,0.30000000447034836,,,,,,-0.0521559901535511,-5.0461329281330105,0.0003,0.165234375,0.2,0.0008153329348260741,0.015955644,0.8671659529209137,-0.021951196354348213,760
157000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
157696,,,6351,990.0,24,77,0.8500000000000003,,,,,,,,,,
158000,1000.0,0.30000000447034836,,,,,,0.005720960441976786,-4.774863961338997,0.0003,0.1841796875,0.2,0.00026168328231506165,0.013840981,0.8343189209699631,-0.0178796939086169,770
159000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
159744,,,6433,990.0,24,78,0.852,,,,,,,,,,
160000,1000.0,0.30000000447034836,,,,,,-0.041754212230443954,-5.373751458525658,0.0003,0.152685546875,0.2,0.0001857030069800203,0.014117888,0.8878037929534912,-0.01843602189910598,780
161000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
161792,,,6515,990.0,24,79,0.852,,,,,,,,,,
162000,1000.0,0.30000000447034836,,,,,,0.0007026667008176446,-5.027780893445015,0.0003,0.2154296875,0.2,9.351989442620833e-05,0.021617316,0.9703149814158678,-0.024909928283886985,790
163000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
163840,,,6598,982.74,24,80,0.857,,,,,,,,,,
164000,1000.0,0.30000000447034836,,,,,,-0.02351948246359825,-4.959223371744156,0.0003,0.219189453125,0.2,0.001834083209655546,0.01676426,0.8136769980192184,-0.014165436165058054,800
165000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
165888,,,6680,981.05,24,81,0.8680000000000001,,,,,,,,,,
166000,1000.0,0.30000000447034836,,,,,,0.0409989096224308,-5.070794765651226,0.0003,0.243115234375,0.2,0.00019926484144434654,0.02196542,0.9364442229270935,-0.024370145861757918,810
167000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
167936,,,6764,980.9,24,82,0.8780000000000001,,,,,,,,,,
168000,1000.0,0.30000000447034836,,,,,,-0.05180513113737106,-5.359343802928924,0.0003,0.190771484375,0.2,0.0009255971730908641,0.016859971,0.785200297832489,-0.019367099335067906,820
169000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
169984,,,6847,967.76,24,83,0.8890000000000002,,,,,,,,,,
170000,1000.0,0.30000000447034836,,,,,,-0.005228167865425348,-4.462799189984798,0.0003,0.2208984375,0.2,0.0022196552405603144,0.019187985,0.7755041867494583,-0.016478643167647532,830
171000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
172000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
