time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
79872,,,4.33,22,3587,0.3999999999999999,39,,,,,,,,,,
80000,0.4000000059604645,4.0,,,,,,0.0003,-0.017613587900996208,3.277607376119818e-05,0.0023974476,390,0.995622050948441,0.2,-0.005554442827997263,-0.3459829707629979,0.025390625
81000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
81920,,,4.31,22,3656,0.3999999999999999,40,,,,,,,,,,
82000,0.4000000059604645,4.0,,,,,,0.0003,-0.052423860877752304,1.4321677622231022e-05,0.09191626,400,0.9970529440324754,0.2,-0.037340553803369404,-0.1961325922049582,0.08095703125
83000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
83968,,,4.13,22,3724,0.3999999999999999,41,,,,,,,,,,
84000,0.4000000059604645,4.0,,,,,,0.0003,-0.02845296822488308,8.7098642468586e-06,0.0029164979,410,0.9994573588483036,0.2,-0.017442921217298134,-0.14567267992533744,0.027587890625
85000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
86000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
86016,,,4.12,22,3792,0.40199999999999997,42,,,,,,,,,,
87000,0.4000000059604645,4.0,,,,,,0.0003,-0.01812126114964485,0.0003295296499992162,0.002478234,420,0.9772474002093077,0.2,-0.0072027405112748966,-0.15860205406788735,0.0185546875
88000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
88064,,,4.31,22,3859,0.40299999999999997,43,,,,,,,,,,
89000,0.4000000059604645,4.0,,,,,,0.0003,-0.005369671620428562,0.00013061709096593433,0.0017693007,430,0.9907245934009552,0.2,-0.004999930379563011,-0.13601714114192873,0.015185546875
90000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
90112,,,4.54,22,3927,0.3999999999999999,44,,,,,,,,,,
91000,0.4000000059604645,4.0,,,,,,0.0003,-0.02736903540790081,0.0004195199625200985,0.002301487,440,0.9516049101948738,0.2,-0.005984992890444118,-0.18618441401049496,0.019921875
92000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
92160,,,4.09,23,3994,0.4019999999999999,45,,,,,,,,,,
93000,0.4000000059604645,4.0,,,,,,0.0003,0.00017416905029676855,0.00016079155727268812,0.0006133255,450,0.9816874992102385,0.2,-0.0020496457451372407,-0.12711774967610837,0.007080078125
94000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
94208,,,4.34,23,4061,0.40299999999999997,46,,,,,,,,,,
95000,0.4000000059604645,4.0,,,,,,0.0003,-0.0012022597948089242,9.80471835244856e-05,0.00056980166,460,0.987870842218399,0.2,-0.0017588889051694423,-0.13248822779860348,0.007177734375
96000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
96256,,,4.12,23,4128,0.4019999999999999,47,,,,,,,,,,
97000,0.4000000059604645,4.0,,,,,,0.0003,-0.003569450229406357,0.00012723524673554642,0.0019545727,470,0.9909014347940683,0.2,-0.003102207608753815,-0.07473333418602124,0.008056640625
98000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
98304,,,4.04,23,4195,0.40099999999999997,48,,,,,,,,,,
99000,0.4000000059604645,4.0,,,,,,0.0003,-0.0016360812587663531,7.026219862682481e-05,0.0002539909,480,0.9926739078946412,0.2,-0.0011581427446799354,-0.061024042253848165,0.0041015625
100000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
100352,,,4.07,23,4262,0.4019999999999999,49,,,,,,,,,,
