eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl
0.20000000298023224,102000,1000.0,,,,,,,,,,,,,,,
,102400,,4119,1000.0,24,50,0.6979999999999998,,,,,,,,,,
0.20000000298023224,103000,1000.0,,,,,,500,0.00022806178609471316,0.212353515625,0.0003,-5.906617489457131,-0.029861518868710846,0.2,-0.07297486066818237,0.9518881551921368,0.018468138
0.20000000298023224,104000,1000.0,,,,,,,,,,,,,,,
,104448,,4201,1000.0,24,51,0.6959999999999998,,,,,,,,,,
0.20000000298023224,105000,1000.0,,,,,,510,0.0002376625119268283,0.247314453125,0.0003,-5.9752542734146115,-0.027330765704391524,0.2,-0.035069506615400314,0.8935618549585342,0.019450154
0.20000000298023224,106000,1000.0,,,,,,,,,,,,,,,
,106496,,4282,1000.0,24,52,0.6979999999999998,,,,,,,,,,
0.20000000298023224,107000,1000.0,,,,,,520,0.00025863714732849986,0.172314453125,0.0003,-5.769367255270481,-0.02306109958444722,0.2,-0.07175329327583313,0.9301250874996185,0.016232826
0.20000000298023224,108000,1000.0,,,,,,,,,,,,,,,
,108544,,4364,1000.0,24,53,0.6969999999999998,,,,,,,,,,
0.20000000298023224,109000,1000.0,,,,,,530,0.0002097967260738187,0.1919921875,0.0003,-6.036392563581467,-0.016594366851495578,0.2,-0.01033210288733244,0.8903739079833031,0.01656714
0.20000000298023224,110000,1000.0,,,,,,,,,,,,,,,
,110592,,4445,1000.0,24,54,0.6999999999999998,,,,,,,,,,
0.20000000298023224,111000,1000.0,,,,,,540,0.00011742632835307632,0.174365234375,0.0003,-5.910123443603515,-0.020059367918292992,0.2,-0.045696962624788284,0.9507177658379078,0.01615138
0.20000000298023224,112000,1000.0,,,,,,,,,,,,,,,
