eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance
0.0,1000.0,72000,,,,,,-0.02886642888188362,-6.2167382225394245,0.0005936812995059881,0.0003,0.210888671875,-0.028485736099537463,0.018888285,350,0.2,0.6347881555557251
0.0,1000.0,73000,,,,,,,,,,,,,,,
,,73728,2956,0.7068493150684932,24,1000.0,36,,,,,,,,,,
0.0,1000.0,74000,,,,,,0.005746107082813978,-6.164690294861794,0.0003947529703964392,0.0003,0.248193359375,-0.029959967941977084,0.02657971,360,0.2,0.8493776470422745
0.0,1000.0,75000,,,,,,,,,,,,,,,
,,75776,3038,0.7066666666666668,24,992.7466666666667,37,,,,,,,,,,
0.20000000298023224,1000.0,76000,,,,,,-0.01816195622086525,-6.121087248623371,0.0012841321305131713,0.0003,0.189599609375,-0.0270762213942362,0.0158957,370,0.2,0.7568495720624924
0.20000000298023224,1000.0,77000,,,,,,,,,,,,,,,
,,77824,3119,0.7294871794871796,24,993.3589743589744,38,,,,,,,,,,
0.20000000298023224,1000.0,78000,,,,,,-0.01623907871544361,-6.1618736505508425,0.0011030529263734933,0.0003,0.199560546875,-0.029724203614750876,0.015954152,380,0.2,0.6647778153419495
0.20000000298023224,1000.0,79000,,,,,,,,,,,,,,,
,,79872,3200,0.7379746835443038,24,1000.0,39,,,,,,,,,,
0.30000000447034836,1000.0,80000,,,,,,-0.024413373321294785,-6.136395144462585,0.0007061663056902034,0.0003,0.1953125,-0.027264144946821035,0.017241701,390,0.2,0.6784332096576691
0.30000000447034836,1000.0,81000,,,,,,,,,,,,,,,
,,81920,3282,0.737037037037037,24,1000.0,40,,,,,,,,,,
0.30000000447034836,1000.0,82000,,,,,,0.009655590169131756,-6.202486945688724,0.00029298369710204495,0.0003,0.20810546875,-0.025746359542245044,0.019056818,400,0.2,0.8445800095796585
0.30000000447034836,1000.0,83000,,,,,,,,,,,,,,,
,,83968,3363,0.7476190476190476,24,998.2261904761905,41,,,,,,,,,,
0.30000000447034836,1000.0,84000,,,,,,-0.000595017452724278,-6.071032786369324,0.0006893929546549771,0.0003,0.195751953125,-0.023530329272034578,0.016974552,410,0.2,0.7793662995100021
0.30000000447034836,1000.0,85000,,,,,,,,,,,,,,,
0.30000000447034836,1000.0,86000,,,,,,,,,,,,,,,
,,86016,3472,0.7546511627906978,24,998.1744186046511,42,,,,,,,,,,
0.30000000447034836,1000.0,87000,,,,,,-0.049770429730415344,-6.1016783773899075,0.0010338219085497258,0.0003,0.194580078125,-0.0244727170211263,0.016976625,420,0.2,0.6081910729408264
0.30000000447034836,1000.0,88000,,,,,,,,,,,,,,,
,,88064,3553,0.7625,24,998.4772727272727,43,,,,,,,,,,
0.30000000447034836,1000.0,89000,,,,,,-0.052004434168338776,-6.120111820101738,0.0006335706586469314,0.0003,0.182470703125,-0.026076293893856926,0.014731871,430,0.2,0.7657259553670883
0.30000000447034836,1000.0,90000,,,,,,,,,,,,,,,
,,90112,3634,0.7677777777777777,24,998.7666666666667,44,,,,,,,,,,
0.30000000447034836,1000.0,91000,,,,,,-0.053830187767744064,-6.122909383475781,0.0008999787734865095,0.0003,0.184228515625,-0.0227676684880862,0.015094381,440,0.2,0.6880441009998322
0.30000000447034836,1000.0,92000,,,,,,,,,,,,,,,
,,92160,3716,0.7793478260869564,24,1000.0,45,,,,,,,,,,
0.30000000447034836,1000.0,93000,,,,,,-0.040672384202480316,-6.128526675701141,0.000651594328360261,0.0003,0.19345703125,-0.019655634931405076,0.016950566,450,0.2,0.8663207292556763
0.30000000447034836,1000.0,94000,,,,,,,,,,,,,,,
,,94208,3797,0.779787234042553,24,1000.0,46,,,,,,,,,,
0.30000000447034836,1000.0,95000,,,,,,-0.025382371619343758,-6.138527151942253,0.000298195589914485,0.0003,0.168408203125,-0.021926427696598694,0.014887414,460,0.2,0.92136250436306
0.30000000447034836,1000.0,96000,,,,,,,,,,,,,,,
,,96256,3879,0.7802083333333334,24,1000.0,47,,,,,,,,,,
